A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-64.93601805018115,-65.33601805018114,-64.53601805018114,0.006885581095702946,0.005961966361384839,0.007709325562231243,-194.80805415054343,1.0,1.0,1.0,-90.29364013671875,-91.6507339477539,-91.47500610351562,0.6108201742172241,0.5509285926818848,0.5555238127708435,-1.2865333557128906,-1.2758276462554932,-1.265136480331421,-45.579750061035156,-46.21240234375,-45.401893615722656,260,6525
-69.2280559013993,-69.42805590139929,-68.5280559013993,0.005604534387704916,0.006662844862556085,0.009264196128584444,-207.1841677041979,1.0,1.0,1.0,-90.40750885009766,-91.58366394042969,-90.62116241455078,0.5240883827209473,0.5414780974388123,0.4449922740459442,-1.2832945585250854,-1.242728590965271,-1.2388617992401123,-45.95356369018555,-45.84511184692383,-45.07120895385742,265,6650
-60.53763911376071,-60.53763911376071,-60.737639113760714,0.007329172687605023,0.005952236233744771,0.006760680016828701,-181.81291734128212,1.0,1.0,1.0,-92.2580337524414,-91.18516540527344,-93.15319061279297,0.5291376709938049,0.46423807740211487,0.5266073346138,-1.2742944955825806,-1.2766094207763672,-1.258782148361206,-46.607200622558594,-45.939361572265625,-46.08933639526367,270,6775
-64.08519341425348,-65.28519341425348,-65.28519341425348,0.007726826534140855,0.007119425059412606,0.006099996104661841,-194.65558024276044,1.0,1.0,1.0,-91.47611999511719,-91.29542541503906,-91.38418960571289,0.5975356101989746,0.6520397663116455,0.6430866122245789,-1.327249526977539,-1.2366702556610107,-1.2800204753875732,-46.2943115234375,-45.827491760253906,-45.71419906616211,275,6900
-65.11954533151348,-67.81954533151348,-67.71954533151349,0.004751937740016729,0.006652639849577099,0.0067683835349162105,-200.65863599454048,1.0,1.0,1.0,-90.79156494140625,-93.10346603393555,-93.9437141418457,0.5666055679321289,0.48691150546073914,0.5315258502960205,-1.233526587486267,-1.248525619506836,-1.2790131568908691,-46.119102478027344,-46.74811553955078,-46.472755432128906,280,7025
-64.20133385694544,-66.10133385694544,-65.70133385694544,0.007375231769809034,0.006059363083913923,0.007056931391125545,-196.00400157083632,1.0,1.0,1.0,-92.46541213989258,-92.41670608520508,-93.63787078857422,0.5664862990379333,0.5158932209014893,0.5653619766235352,-1.2374334335327148,-1.249518871307373,-1.3092637062072754,-46.836185455322266,-46.27396774291992,-46.90367889404297,285,7150
-68.80640202860712,-68.80640202860712,-69.80640202860712,0.006219726999057457,0.005783601499628276,0.006160475599579513,-207.41920608582137,1.0,1.0,1.0,-93.02333450317383,-92.80131149291992,-93.65536117553711,0.4443821310997009,0.5553848147392273,0.5407556295394897,-1.291237711906433,-1.2648118734359741,-1.2805150747299194,-47.16905975341797,-46.477272033691406,-46.571632385253906,290,7275
-60.41939335252626,-58.91939335252626,-58.91939335252626,0.00502101178234443,0.006264928302727639,0.005717763365479186,-178.25818005757876,1.0,1.0,1.0,-93.60504913330078,-92.69615936279297,-93.63937759399414,0.6832520365715027,0.6048262715339661,0.6178015470504761,-1.246435523033142,-1.291505217552185,-1.2759112119674683,-47.165924072265625,-46.84145736694336,-46.324222564697266,295,7400
-63.04056433294621,-63.740564332946214,-63.740564332946214,0.003497463719919324,0.008205284276744352,0.006033247790473979,-190.52169299883863,1.0,1.0,1.0,-93.23660659790039,-93.18966674804688,-94.47268295288086,0.5665104985237122,0.5733917355537415,0.5377800464630127,-1.267301321029663,-1.2849992513656616,-1.2931315898895264,-46.9968376159668,-47.01219940185547,-47.08143997192383,300,7525
-69.55692305718497,-70.15692305718497,-69.35692305718497,0.006835676030721515,0.007598630370339378,0.00539644156943541,-209.0707691715549,1.0,1.0,1.0,-92.40817260742188,-94.365966796875,-93.79911804199219,0.6832998394966125,0.587709903717041,0.6704725027084351,-1.266636848449707,-1.304162621498108,-1.2805767059326172,-46.61855697631836,-47.074275970458984,-47.08545684814453,305,7650
-65.6209878238146,-65.6209878238146,-64.9209878238146,0.011378935312386602,0.005632147632073611,0.007688366232672706,-196.1629634714438,1.0,1.0,1.0,-93.29021072387695,-95.52986145019531,-94.94075775146484,0.57676100730896,0.5706357955932617,0.6046256422996521,-1.2773323059082031,-1.2881966829299927,-1.252903938293457,-47.21202087402344,-48.11180877685547,-47.12918472290039,310,7775
-67.07698245264798,-67.87698245264798,-68.07698245264798,0.007324873897887301,0.007362786447571125,0.007347757857525721,-203.03094735794394,1.0,1.0,1.0,-94.90695190429688,-93.86814880371094,-94.81229782104492,0.5756060481071472,0.586333155632019,0.5890637636184692,-1.2680219411849976,-1.2655036449432373,-1.2747082710266113,-47.97901916503906,-47.305938720703125,-46.930702209472656,315,7900
-63.0485047549657,-63.2485047549657,-63.2485047549657,0.006629922079271637,0.008595441058976576,0.006681072658975609,-189.54551426489712,1.0,1.0,1.0,-93.93520736694336,-93.98495483398438,-93.80294418334961,0.5174784660339355,0.6003886461257935,0.488394558429718,-1.2630153894424438,-1.2723071575164795,-1.265839695930481,-47.314453125,-47.400447845458984,-46.73986053466797,320,8025
-63.00108106973347,-63.30108106973347,-63.30108106973347,0.005106708473293111,0.007253652060870081,0.0037013957266462966,-189.6032432092004,1.0,1.0,1.0,-93.88483428955078,-92.78575897216797,-94.43647003173828,0.687578558921814,0.5517199039459229,0.5475161075592041,-1.228887915611267,-1.3120654821395874,-1.2972900867462158,-47.41191101074219,-47.08781433105469,-46.617794036865234,325,8150
-70.31264875979336,-70.01264875979336,-70.31264875979336,0.006445675928145647,0.005595174109825166,0.0105340002248995,-210.6379462793801,1.0,1.0,1.0,-94.78436279296875,-93.82695770263672,-94.44396591186523,0.7094886302947998,0.5811551809310913,0.6061108112335205,-1.2524539232254028,-1.2777578830718994,-1.293708324432373,-47.982269287109375,-47.21537780761719,-47.03858947753906,330,8275
-62.983462955305114,-62.983462955305114,-63.983462955305114,0.005923819156712852,0.00683736148790922,0.008214266737923026,-189.95038886591536,1.0,1.0,1.0,-95.4104232788086,-94.20948791503906,-94.4428939819336,0.5804786086082458,0.5448640584945679,0.5961731672286987,-1.2962027788162231,-1.271395206451416,-1.26181960105896,-48.04671859741211,-47.59958267211914,-46.89980697631836,335,8400
-63.05039435075774,-61.250394350757745,-63.15039435075774,0.00597887849539984,0.006947591634467244,0.008300249604508281,-187.45118305227325,1.0,1.0,1.0,-95.06109619140625,-96.14860534667969,-94.57532119750977,0.7181779146194458,0.5682994723320007,0.5882599949836731,-1.232325553894043,-1.2707842588424683,-1.2824031114578247,-47.56388854980469,-48.59131622314453,-47.3227653503418,340,8525
-65.04314929157648,-65.04314929157648,-64.14314929157648,0.007102352629823144,0.007711119957268238,0.008457394828088582,-194.22944787472943,1.0,1.0,1.0,-94.46647262573242,-94.62604141235352,-95.5624008178711,0.6039085388183594,0.609052836894989,0.5038431286811829,-1.2478643655776978,-1.2715957164764404,-1.2802481651306152,-47.47404861450195,-47.65155029296875,-47.3739128112793,345,8650
